theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.968378730000000
0	5	0.966981000000000
0	10	0.968493230000000
0	15	0.969097970000000
0	20	0.968575970000000
0	25	0.968249700000000
0	30	0.967215790000000
0	35	0.940787470000000
0	40	0.939568440000000
0	45	0.944533030000000
0	50	0.896807810000000
0	55	0.951118590000000
0	60	0.953931810000000
0	65	0.956840330000000
0	70	0.936146520000000
0	75	0.898660710000000
0	80	0.898670960000000
0	85	0.948273470000000
0	90	0.938095470000000
5	0	0.873685240000000
5	5	0.869536850000000
5	10	0.898641550000000
5	15	0.936687550000000
5	20	0.937694280000000
5	25	0.940139860000000
5	30	0.892720630000000
5	35	0.940086940000000
5	40	0.936693610000000
5	45	0.937892680000000
5	50	0.938188110000000
5	55	0.940157170000000
5	60	0.937899740000000
5	65	0.942845550000000
5	70	0.943413400000000
5	75	0.945219880000000
5	80	0.857120510000000
5	85	0.860365280000000
5	90	0.866983200000000
10	0	0.878134800000000
10	5	0.889642000000000
10	10	0.903321340000000
10	15	0.917669070000000
10	20	0.718202530000000
10	25	0.700389410000000
10	30	0.631252140000000
10	35	0.506848340000000
10	40	0.372566210000000
10	45	0.418798950000000
10	50	0.616002060000000
10	55	0.988562170000000
10	60	0.985486500000000
10	65	0.986103430000000
10	70	0.983424900000000
10	75	0.995250530000000
10	80	0.996976150000000
10	85	0.947598500000000
10	90	0.995179930000000
15	0	0.994467920000000
15	5	0.995244130000000
15	10	0.992945040000000
15	15	0.981004790000000
15	20	0.969501020000000
15	25	0.991783170000000
15	30	0.944531500000000
15	35	0.968212700000000
15	40	0.956331560000000
15	45	0.986691460000000
15	50	0.976858990000000
15	55	0.990232140000000
15	60	0.988556560000000
15	65	0.969938910000000
15	70	0.957546890000000
15	75	0.975918830000000
15	80	0.933416600000000
15	85	0.988572230000000
15	90	0.984131300000000
20	0	0.985943580000000
20	5	0.959069270000000
20	10	0.959734190000000
20	15	0.965152910000000
20	20	0.962116790000000
20	25	0.936425140000000
20	30	0.965494150000000
20	35	0.970554760000000
20	40	0.930422400000000
20	45	0.931164900000000
20	50	0.930263360000000
20	55	0.931847050000000
20	60	0.932746630000000
20	65	0.909787710000000
20	70	0.937453820000000
20	75	0.869482620000000
20	80	0.870332330000000
20	85	0.869946980000000
20	90	0.871260040000000
25	0	0.870636860000000
25	5	0.834755560000000
25	10	0.874390390000000
25	15	0.762625530000000
25	20	0.762864710000000
25	25	0.763463510000000
25	30	0.763400110000000
25	35	0.764230310000000
25	40	0.753424620000000
25	45	0.759948060000000
25	50	0.596574640000000
25	55	0.596560910000000
25	60	0.597609830000000
25	65	0.596807670000000
25	70	0.598579710000000
25	75	0.594460340000000
25	80	0.586580000000000
25	85	0.372748580000000
25	90	0.373569100000000
30	0	0.373333320000000
30	5	0.374741700000000
30	10	0.374404410000000
30	15	0.374071750000000
30	20	0.366909690000000
30	25	0.00120965510000000
30	30	0.00121656100000000
30	35	0.00120904550000000
30	40	0.142119350000000
30	45	0.00119945050000000
30	50	0.141280420000000
30	55	0.00130968660000000
30	60	0.141109320000000
30	65	0.141744970000000
30	70	0.141938350000000
30	75	0.00121034120000000
30	80	0.141467790000000
30	85	0.00118482520000000
30	90	0.141055000000000
35	0	0.963422970000000
35	5	0.961561490000000
35	10	0.963416090000000
35	15	0.960510590000000
35	20	0.964704230000000
35	25	0.961202440000000
35	30	0.958299990000000
35	35	0.962547940000000
35	40	0.963427940000000
35	45	0.959652630000000
35	50	0.961047310000000
35	55	0.960000290000000
35	60	0.864453990000000
35	65	0.851196030000000
35	70	0.874404870000000
35	75	0.933760960000000
35	80	0.954138570000000
35	85	0.959423120000000
35	90	0.937950450000000
40	0	0.939791600000000
40	5	0.944716780000000
40	10	0.903409190000000
40	15	0.924842080000000
40	20	0.952214830000000
40	25	0.941760220000000
40	30	0.944493980000000
40	35	0.949596340000000
40	40	0.957019950000000
40	45	0.925729840000000
40	50	0.946354780000000
40	55	0.931093510000000
40	60	0.939712350000000
40	65	0.946313250000000
40	70	0.949562020000000
40	75	0.964591920000000
40	80	0.934302050000000
40	85	0.770500200000000
40	90	0.835505830000000
45	0	0.898131870000000
45	5	0.927212240000000
45	10	0.946470290000000
45	15	0.902077530000000
45	20	0.897517720000000
45	25	0.761631950000000
45	30	0.473643690000000
45	35	0.663705530000000
45	40	0.822348470000000
45	45	0.933665990000000
45	50	0.983360650000000
45	55	0.970493740000000
45	60	0.946903670000000
45	65	0.891735290000000
45	70	0.697094810000000
45	75	0.593479020000000
45	80	0.986901660000000
45	85	0.987014180000000
45	90	0.974268200000000
50	0	0.955819870000000
50	5	0.920682170000000
50	10	0.809205190000000
50	15	0.981014090000000
50	20	0.979905960000000
50	25	0.974652720000000
50	30	0.963590710000000
50	35	0.937427350000000
50	40	0.915250550000000
50	45	0.966767600000000
50	50	0.961044110000000
50	55	0.957603920000000
50	60	0.951129800000000
50	65	0.922860460000000
50	70	0.925634460000000
50	75	0.934926200000000
50	80	0.930240760000000
50	85	0.925339150000000
50	90	0.914657640000000
55	0	0.879918860000000
55	5	0.890781760000000
55	10	0.875038430000000
55	15	0.868052480000000
55	20	0.860324240000000
55	25	0.848915100000000
55	30	0.802865430000000
55	35	0.826928270000000
55	40	0.763927190000000
55	45	0.758179780000000
55	50	0.750535720000000
55	55	0.738000020000000
55	60	0.675566200000000
55	65	0.715944940000000
55	70	0.598300180000000
55	75	0.591388150000000
55	80	0.583087470000000
55	85	0.572221450000000
55	90	0.499199850000000
60	0	0.550730820000000
60	5	0.373450470000000
60	10	0.367474540000000
60	15	0.362155040000000
60	20	0.354325710000000
60	25	0.294879640000000
60	30	0.334320940000000
60	35	0.140798980000000
60	40	0.137770040000000
60	45	0.135502180000000
60	50	0.132416920000000
60	55	0.109869540000000
60	60	0.118276930000000
60	65	0.00115847750000000
60	70	0.00112937970000000
60	75	0.00111217660000000
60	80	0.00111177250000000
60	85	0.00100829940000000
60	90	0.000770526180000000
65	0	0.959233820000000
65	5	0.958165520000000
65	10	0.958417880000000
65	15	0.956359340000000
