theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.9699
5	0	0.9708
10	0	0.9733
15	0	0.9722
20	0	0.9821
25	0	0.9874
30	0	0.9923
35	0	0.9961
40	0	0.9986
45	0	0.9998
50	0	1
55	0	1
60	0	0.9998
65	0	0.9976
70	0	0.9868
75	0	0.9491
80	0	0.8322
85	0	0.4820
90	0	0
0	360	0.9699
5	360	0.9708
10	360	0.9733
15	360	0.9722
20	360	0.9821
25	360	0.9874
30	360	0.9923
35	360	0.9961
40	360	0.9986
45	360	0.9998
50	360	1
55	360	1
60	360	0.9998
65	360	0.9976
70	360	0.9868
75	360	0.9491
80	360	0.8322
85	360	0.4820
90	360	0
