theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.0365
5	0	0.0353
10	0	0.0319
15	0	0.0267
20	0	0.0204
25	0	0.0139
30	0	0.0081
35	0	0.0037
40	0	0.0011
45	0	0.0001
50	0	1e-6
55	0	1e-6
60	0	0.0003
65	0	0.0040
70	0	0.0205
75	0	0.0740
80	0	0.2262
85	0	0.6056
90	0	1
0	360	0.0365
5	360	0.0353
10	360	0.0319
15	360	0.0267
20	360	0.0204
25	360	0.0139
30	360	0.0081
35	360	0.0037
40	360	0.0011
45	360	0.0001
50	360	1e-6
55	360	1e-6
60	360	0.0003
65	360	0.0040
70	360	0.0205
75	360	0.0740
80	360	0.2262
85	360	0.6056
90	360	1
