theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.9635
5	0	0.9639
10	0	0.9652
15	0	0.9673
20	0	0.9705
25	0	0.9747
30	0	0.9801
35	0	0.9863
40	0	0.9928
45	0	0.9982
50	0	0.9998
55	0	0.9926
60	0	0.9683
65	0	0.9134
70	0	0.8086
75	0	0.6326
80	0	0.3821
85	0	0.1203
90	0	0
0	360	0.9635
5	360	0.9639
10	360	0.9652
15	360	0.9673
20	360	0.9705
25	360	0.9747
30	360	0.9801
35	360	0.9863
40	360	0.9928
45	360	0.9982
50	360	0.9998
55	360	0.9926
60	360	0.9683
65	360	0.9134
70	360	0.8086
75	360	0.6326
80	360	0.3821
85	360	0.1203
90	360	0
