theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.9635
5	0	0.9647
10	0	0.9681
15	0	0.9733
20	0	0.9796
25	0	0.9861
30	0	0.9919
35	0	0.9963
40	0	0.9989
45	0	0.9999
50	0	1
55	0	1
60	0	0.9997
65	0	0.9960
70	0	0.9795
75	0	0.9260
80	0	0.7738
85	0	0.3944
90	0	1e-6
0	360	0.9635
5	360	0.9647
10	360	0.9681
15	360	0.9733
20	360	0.9796
25	360	0.9861
30	360	0.9919
35	360	0.9963
40	360	0.9989
45	360	0.9999
50	360	1
55	360	1
60	360	0.9997
65	360	0.9960
70	360	0.9795
75	360	0.9260
80	360	0.7738
85	360	0.3944
90	360	1e-6
