      0.14336321E-06      0.14434251E-06      0.14530619E-06      0.14624779E-06      0.14718619E-06      0.14808924E-06      0.14897411E-06      0.14985341E-06      0.37855258E-07      0.38067526E-07      0.38273502E-07      0.38470276E-07      0.38665078E-07      0.38850494E-07      0.39031654E-07      0.39207663E-07      0.39371198E-07      0.39531997E-07      0.39685549E-07      0.39834042E-07      0.39977181E-07      0.40106077E-07      0.40231555E-07      0.40346528E-07      0.40454651E-07      0.40556614E-07      0.40646700E-07      0.40732751E-07      0.40806288E-07      0.40873399E-07      0.40932079E-07      0.40979661E-07      0.41022684E-07      0.41050328E-07      0.41073076E-07      0.41084288E-07      0.41086292E-07      0.25920075E-08      0.25907985E-08      0.25892686E-08      0.25867710E-08      0.25838769E-08      0.64812794E-09      0.64705413E-09      0.64585171E-09      0.16187303E-09      0.16149439E-09      0.40457922E-10      0.40344523E-10      0.10102428E-10      0.40082920E-10      0.39938219E-10      0.39780550E-10      0.39617424E-10      0.39441731E-10      0.39261053E-10      0.39069477E-10      0.38871163E-10      0.38662473E-10      0.38442888E-10      0.38217225E-10      0.37980716E-10      0.37739860E-10      0.37487593E-10      0.37230503E-10      0.36964505E-15      0.14607232E-14      0.57707880E-14      0.22789776E-13      0.22603482E-13      0.89236263E-13      0.88478622E-13      0.34910616E-12      0.34591576E-12      0.34268191E-12
      0.14514073E-06      0.14614392E-06      0.14714520E-06      0.14811155E-06      0.14907353E-06      0.15001946E-06      0.15092719E-06      0.15182995E-06      0.38359673E-07      0.38577568E-07      0.38793832E-07      0.38995992E-07      0.39196152E-07      0.39390233E-07      0.39576513E-07      0.39760369E-07      0.39930374E-07      0.40095912E-07      0.40256229E-07      0.40409212E-07      0.40559044E-07      0.40693891E-07      0.40823377E-07      0.40945128E-07      0.41056875E-07      0.41164750E-07      0.41258470E-07      0.41347626E-07      0.41426691E-07      0.41496456E-07      0.41560131E-07      0.41609891E-07      0.41654960E-07      0.41686668E-07      0.41710951E-07      0.41725624E-07      0.41728629E-07      0.26327145E-08      0.26315341E-08      0.26300229E-08      0.26276359E-08      0.26247240E-08      0.65840516E-09      0.65731764E-09      0.65612094E-09      0.16444669E-09      0.16406153E-09      0.41101626E-10      0.40986072E-10      0.10263216E-10      0.40720271E-10      0.40573399E-10      0.40412357E-10      0.40246050E-10      0.40066537E-10      0.39881813E-10      0.39686181E-10      0.39483323E-10      0.39270021E-10      0.39045316E-10      0.38814351E-10      0.38572250E-10      0.38325669E-10      0.38067226E-10      0.37803968E-10      0.37531276E-15      0.14830242E-14      0.58583916E-14      0.23134062E-13      0.22943239E-13      0.90570590E-13      0.89794464E-13      0.35425761E-12      0.35098939E-12      0.34767244E-12
      0.14694889E-06      0.14797665E-06      0.14900263E-06      0.15000869E-06      0.15099495E-06      0.15197776E-06      0.15291660E-06      0.15384296E-06      0.15475887E-06      0.39097376E-07      0.39319449E-07      0.39532033E-07      0.39737728E-07      0.39940801E-07      0.40132377E-07      0.40321488E-07      0.40501089E-07      0.40671537E-07      0.40838881E-07      0.40996518E-07      0.41150937E-07      0.41294339E-07      0.41427981E-07      0.41556792E-07      0.41672305E-07      0.41783846E-07      0.41883844E-07      0.41976229E-07      0.42061060E-07      0.42133593E-07      0.42201538E-07      0.42254523E-07      0.42301735E-07      0.42337700E-07      0.42363599E-07      0.42381899E-07      0.42385970E-07      0.26742988E-08      0.26732283E-08      0.26717377E-08      0.26694684E-08      0.26665401E-08      0.66892708E-09      0.66782568E-09      0.66663558E-09      0.16708192E-09      0.16669011E-09      0.41760758E-10      0.41642998E-10      0.10427864E-10      0.41372912E-10      0.41223819E-10      0.41059316E-10      0.40889365E-10      0.40706293E-10      0.40517405E-10      0.40317596E-10      0.40110058E-10      0.39892003E-10      0.39662013E-10      0.39425584E-10      0.39177710E-10      0.38925217E-10      0.38660408E-10      0.38390777E-10      0.38111170E-15      0.15058394E-14      0.59480017E-14      0.23486191E-13      0.23290690E-13      0.91934950E-13      0.91139735E-13      0.35952326E-12      0.35617467E-12      0.35277185E-12
      0.14877996E-06      0.14984137E-06      0.15089277E-06      0.15193989E-06      0.15295120E-06      0.15395911E-06      0.15494317E-06      0.15589387E-06      0.15683921E-06      0.39627189E-07      0.39855252E-07      0.40078657E-07      0.40290075E-07      0.40499344E-07      0.40699533E-07      0.40894083E-07      0.41083652E-07      0.41259185E-07      0.41431719E-07      0.41596294E-07      0.41755467E-07      0.41907771E-07      0.42045730E-07      0.42179931E-07      0.42301320E-07      0.42416673E-07      0.42523215E-07      0.42618964E-07      0.42709818E-07      0.42785235E-07      0.42855937E-07      0.42913999E-07      0.42963450E-07      0.43003872E-07      0.43031470E-07      0.43053578E-07      0.43058776E-07      0.27168110E-08      0.27159108E-08      0.27144438E-08      0.27122993E-08      0.27093554E-08      0.67970146E-09      0.67858613E-09      0.67737926E-09      0.16978066E-09      0.16938208E-09      0.16894000E-09      0.42315793E-10      0.10596495E-10      0.42041329E-10      0.41889978E-10      0.41721907E-10      0.41548213E-10      0.41361480E-10      0.41168301E-10      0.40964197E-10      0.40751829E-10      0.40528879E-10      0.40293442E-10      0.40051365E-10      0.39797540E-10      0.39538945E-10      0.39267554E-10      0.38991348E-10      0.38704599E-15      0.15291843E-14      0.60396795E-14      0.23846402E-13      0.94136694E-13      0.93330258E-13      0.92514809E-13      0.36490646E-12      0.36147490E-12      0.35798334E-12
      0.15063470E-06      0.15173875E-06      0.15281634E-06      0.15389200E-06      0.15494305E-06      0.15597684E-06      0.15700691E-06      0.15798356E-06      0.15895404E-06      0.15990868E-06      0.40401495E-07      0.40633982E-07      0.40853468E-07      0.41068624E-07      0.41278270E-07      0.41478447E-07      0.41675975E-07      0.41859185E-07      0.42036923E-07      0.42208875E-07      0.42372982E-07      0.42533618E-07      0.42676998E-07      0.42815589E-07      0.42944308E-07      0.43063626E-07      0.43176996E-07      0.43276252E-07      0.43370935E-07      0.43451816E-07      0.43525397E-07      0.43588766E-07      0.43640561E-07      0.43685656E-07      0.43715037E-07      0.43739021E-07      0.43747537E-07      0.27603337E-08      0.27596132E-08      0.27581721E-08      0.27561602E-08      0.27532019E-08      0.69073630E-09      0.68960704E-09      0.68838329E-09      0.17254498E-09      0.17213948E-09      0.17169285E-09      0.43004968E-10      0.10769237E-10      0.42726035E-10      0.42572380E-10      0.42400642E-10      0.42223093E-10      0.42032603E-10      0.41835004E-10      0.41626470E-10      0.41409126E-10      0.41181128E-10      0.40940067E-10      0.40692168E-10      0.40432196E-10      0.40167300E-10      0.39889116E-10      0.39606117E-10      0.39311982E-15      0.15530756E-14      0.61334897E-14      0.24214942E-13      0.95584009E-13      0.94757440E-13      0.93918762E-13      0.37041076E-12      0.36689345E-12      0.36331016E-12
      0.15252134E-06      0.15366280E-06      0.15477406E-06      0.15587682E-06      0.15697130E-06      0.15803178E-06      0.15908860E-06      0.16011298E-06      0.16110940E-06      0.16210004E-06      0.40958437E-07      0.41197300E-07      0.41428180E-07      0.41649425E-07      0.41868354E-07      0.42074898E-07      0.42278206E-07      0.42471861E-07      0.42655000E-07      0.42834621E-07      0.43003844E-07      0.43169518E-07      0.43322167E-07      0.43465320E-07      0.43601680E-07      0.43725120E-07      0.43844182E-07      0.43948514E-07      0.44046725E-07      0.44133785E-07      0.44210370E-07      0.44279293E-07      0.44333543E-07      0.44382467E-07      0.44414787E-07      0.44440480E-07      0.44452747E-07      0.28048988E-08      0.28043676E-08      0.28029552E-08      0.28010840E-08      0.27981129E-08      0.70201156E-09      0.70089684E-09      0.69965600E-09      0.69818845E-09      0.17496447E-09      0.17451328E-09      0.43711056E-10      0.10946225E-10      0.43427567E-10      0.43271331E-10      0.43096048E-10      0.42914530E-10      0.42720175E-10      0.42518020E-10      0.42304930E-10      0.42082449E-10      0.41849246E-10      0.41602385E-10      0.41348473E-10      0.41082152E-10      0.40810754E-10      0.40525545E-10      0.40235530E-10      0.39933763E-15      0.15775305E-14      0.62294979E-14      0.24592072E-13      0.97064853E-13      0.96217481E-13      0.95354748E-13      0.37603975E-12      0.37243385E-12      0.36875573E-12
      0.15444053E-06      0.15561021E-06      0.15676662E-06      0.15789732E-06      0.15902593E-06      0.16012477E-06      0.16120919E-06      0.16228302E-06      0.16330624E-06      0.16432367E-06      0.41526338E-07      0.41771798E-07      0.42014502E-07      0.42242050E-07      0.42467249E-07      0.42683752E-07      0.42893046E-07      0.43097568E-07      0.43286303E-07      0.43471740E-07      0.43648424E-07      0.43819327E-07      0.43981633E-07      0.44129528E-07      0.44273271E-07      0.44401585E-07      0.44524818E-07      0.44636209E-07      0.44738091E-07      0.44831605E-07      0.44911332E-07      0.44985843E-07      0.45042885E-07      0.45094225E-07      0.45131223E-07      0.45158721E-07      0.45174932E-07      0.45177998E-07      0.28502081E-08      0.28488274E-08      0.28470586E-08      0.28441227E-08      0.71356265E-09      0.71246431E-09      0.71120626E-09      0.70974132E-09      0.17785924E-09      0.17740348E-09      0.44434619E-10      0.11127598E-10      0.44146471E-10      0.43986877E-10      0.43808672E-10      0.43623070E-10      0.43424743E-10      0.43217888E-10      0.43000103E-10      0.42772327E-10      0.42533758E-10      0.42280904E-10      0.42020786E-10      0.41747907E-10      0.41469651E-10      0.41177322E-10      0.40880056E-10      0.40570398E-15      0.16025666E-14      0.63277740E-14      0.24978058E-13      0.98580263E-13      0.97711390E-13      0.96823753E-13      0.38179721E-12      0.37809596E-12      0.37432354E-12
      0.15639294E-06      0.15759169E-06      0.15878997E-06      0.15995430E-06      0.16111183E-06      0.16225667E-06      0.16336956E-06      0.16447851E-06      0.16554556E-06      0.16659067E-06      0.16762490E-06      0.42357748E-07      0.42608104E-07      0.42846800E-07      0.43078487E-07      0.43305334E-07      0.43520835E-07      0.43733419E-07      0.43931198E-07      0.44122366E-07      0.44307114E-07      0.44483446E-07      0.44655810E-07      0.44808633E-07      0.44957201E-07      0.45093458E-07      0.45221039E-07      0.45339796E-07      0.45445510E-07      0.45545768E-07      0.45628774E-07      0.45706411E-07      0.45769099E-07      0.45822965E-07      0.45864880E-07      0.45894279E-07      0.45914636E-07      0.45918942E-07      0.28971692E-08      0.28958234E-08      0.28940770E-08      0.28912672E-08      0.28878659E-08      0.72431855E-09      0.72304318E-09      0.72158174E-09      0.18082610E-09      0.18036578E-09      0.45176231E-10      0.45039868E-10      0.44883333E-10      0.44720283E-10      0.44539091E-10      0.44349281E-10      0.44146870E-10      0.43935171E-10      0.43712547E-10      0.43479303E-10      0.43235197E-10      0.42976161E-10      0.42709628E-10      0.42429980E-10      0.42144611E-10      0.41844944E-10      0.41540184E-10      0.41222365E-15      0.64819921E-14      0.64283897E-14      0.25373179E-13      0.10013132E-12      0.99240216E-13      0.98326783E-13      0.38768709E-12      0.38388623E-12      0.38001725E-12
      0.15837924E-06      0.15960792E-06      0.16083634E-06      0.16204854E-06      0.16323590E-06      0.16442098E-06      0.16557065E-06      0.16670906E-06      0.16782838E-06      0.16890208E-06      0.16996952E-06      0.42955438E-07      0.43212829E-07      0.43463992E-07      0.43702396E-07      0.43938257E-07      0.44161919E-07      0.44380879E-07      0.44590056E-07      0.44787178E-07      0.44980307E-07      0.45162277E-07      0.45340329E-07      0.45503075E-07      0.45656659E-07      0.45801201E-07      0.45933309E-07      0.46059753E-07      0.46169465E-07      0.46273978E-07      0.46363208E-07      0.46444114E-07      0.46512714E-07      0.46569230E-07      0.46616304E-07      0.46647699E-07      0.46672419E-07      0.46678039E-07      0.29451377E-08      0.29439802E-08      0.29422589E-08      0.29395837E-08      0.29361609E-08      0.73646900E-09      0.73517620E-09      0.73371931E-09      0.18386746E-09      0.18340258E-09      0.45936498E-10      0.45797557E-10      0.45638750E-10      0.45472147E-10      0.45287898E-10      0.45093755E-10      0.44887139E-10      0.44670448E-10      0.44442838E-10      0.44203953E-10      0.43954132E-10      0.43688705E-10      0.43415549E-10      0.43128903E-10      0.42836179E-10      0.42528932E-10      0.42216425E-10      0.41890157E-15      0.65865168E-14      0.65314190E-14      0.25777725E-13      0.10171915E-12      0.10080505E-12      0.39756929E-12      0.39371341E-12      0.38980944E-12      0.38584064E-12
      0.16038244E-06      0.16165966E-06      0.16291911E-06      0.16417806E-06      0.16539896E-06      0.16661494E-06      0.16781338E-06      0.16898220E-06      0.17014673E-06      0.17125900E-06      0.17235600E-06      0.17343606E-06      0.43829836E-07      0.44092424E-07      0.44339309E-07      0.44582091E-07      0.44816659E-07      0.45042224E-07      0.45263270E-07      0.45466567E-07      0.45666223E-07      0.45856243E-07      0.46040061E-07      0.46213298E-07      0.46372104E-07      0.46525290E-07      0.46662112E-07      0.46793950E-07      0.46910468E-07      0.47019000E-07      0.47115162E-07      0.47199489E-07      0.47274280E-07      0.47333579E-07      0.47386060E-07      0.47419562E-07      0.47446719E-07      0.47455888E-07      0.29942921E-08      0.29933356E-08      0.29916429E-08      0.29891110E-08      0.29856679E-08      0.74892559E-09      0.74761530E-09      0.74616396E-09      0.18698583E-09      0.18651564E-09      0.46716044E-10      0.46574265E-10      0.46413349E-10      0.46243093E-10      0.46055718E-10      0.45857106E-10      0.45646171E-10      0.45424324E-10      0.45191573E-10      0.44946862E-10      0.44691147E-10      0.44419121E-10      0.44139119E-10      0.43845236E-10      0.43544911E-10      0.43229822E-10      0.42909301E-10      0.42574295E-15      0.66935864E-14      0.26422136E-13      0.26191997E-13      0.10334492E-12      0.10240703E-12      0.40383663E-12      0.39988041E-12      0.39586972E-12      0.39179765E-12
