theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.0301
5	0	0.0292
10	0	0.0267
15	0	0.0278
20	0	0.0179
25	0	0.0126
30	0	0.0077
35	0	0.0039
40	0	0.0014
45	0	0.0002
50	0	0
55	0	0
60	0	0.0002
65	0	0.0024
70	0	0.0132
75	0	0.0509
80	0	0.1678
85	0	0.5180
90	0	1
0	360	0.0301
5	360	0.0292
10	360	0.0267
15	360	0.0278
20	360	0.0179
25	360	0.0126
30	360	0.0077
35	360	0.0039
40	360	0.0014
45	360	0.0002
50	360	0
55	360	0
60	360	0.0002
65	360	0.0024
70	360	0.0132
75	360	0.0509
80	360	0.1678
85	360	0.5180
90	360	1
