theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.0301
5	0	0.0299
10	0	0.0293
15	0	0.0281
20	0	0.0264
25	0	0.0238
30	0	0.0204
35	0	0.0160
40	0	0.0108
45	0	0.0055
50	0	0.0011
55	0	0.0004
60	0	0.0081
65	0	0.0329
70	0	0.0912
75	0	0.2123
80	0	0.4413
85	0	0.7858
90	0	1
0	360	0.0301
5	360	0.0299
10	360	0.0293
15	360	0.0281
20	360	0.0264
25	360	0.0238
30	360	0.0204
35	360	0.0160
40	360	0.0108
45	360	0.0055
50	360	0.0011
55	360	0.0004
60	360	0.0081
65	360	0.0329
70	360	0.0912
75	360	0.2123
80	360	0.4413
85	360	0.7858
90	360	1
